"","logFC","AveExpr","t","P.Value","adj.P.Val","B","absFLC"
"NM_002266",3.1112126468161,5.92119626293165,11.3772879459973,6.99521427062611e-28,3.7550310204721e-24,52.4311887690397,3.1112126468161
"AL832405",-3.12029749198403,2.62683689271184,-11.3051958803684,1.42077358300304e-27,3.81335629678017e-24,51.7369385872462,3.12029749198403
"BC036731",-3.2843017142573,3.52801281996005,-10.5271008329967,2.42138801674407e-24,4.33267029129406e-21,44.4473694286718,3.2843017142573
"AA918224",2.70852495635563,5.8012197976883,10.4887298316266,3.45997755508237e-24,4.64328987892054e-21,44.0991798642731,2.70852495635563
"BC041470",-2.88766050648129,2.03055732663287,-10.1992076547527,4.95567965175142e-23,5.21223542968849e-20,41.495383741281,2.88766050648129
"AV682285",2.71359047014463,5.86306850890669,10.1814141080729,5.82589653094838e-23,5.21223542968849e-20,41.3358608298933,2.71359047014463
"M19267",2.92658031793141,6.40576626241451,10.0902880183358,1.32965297363585e-22,1.01965388035389e-19,40.5287680729441,2.92658031793141
"NM_020847",-2.78443423940264,4.65767040752011,-9.94604054869554,4.8534915983421e-22,3.25669286248755e-19,39.2617487275146,2.78443423940264
"NM_173549",-3.17123383920924,3.05326470941405,-9.86901769605753,9.63375304365506e-22,5.21839920669136e-19,38.5909536947686,3.17123383920924
"NM_003022",2.75988497696221,6.4146603160637,9.85954307256074,1.04785025044158e-21,5.21839920669136e-19,38.5089019855554,2.75988497696221
"BC003143.1",2.14604719232336,5.07534232048083,9.85725323405241,1.06934409973184e-21,5.21839920669136e-19,38.488997389644,2.14604719232336
"NM_004459",2.72093491248263,6.44183286960126,9.83737276653621,1.27529992769878e-21,5.70484167657254e-19,38.3169171024672,2.72093491248263
"NM_000215",2.13102542645508,5.16129300788047,9.81822521687575,1.51069157763381e-21,6.23799414518331e-19,38.1511530518415,2.13102542645508
"BC000371",2.65270665913439,5.9291541410235,9.77479772465884,2.21623329407912e-21,8.49767165901193e-19,37.7766081406628,2.65270665913439
"NM_002853",3.20011540068411,6.8674218338146,9.76582140912294,2.39854389510541e-21,8.58358908595057e-19,37.700003523064,3.20011540068411
"NM_006581",-2.83895664992888,1.76280921496838,-9.68218780301909,4.99647888937321e-21,1.67631866738471e-18,36.9823809230304,2.83895664992888
"NM_005716",2.62937966833221,5.88743747406136,9.62457913235777,8.25996812382174e-21,2.60820640521618e-18,36.4902383615287,2.62937966833221
"AK022530",2.4023686831429,5.88239927073109,9.59724851240634,1.04761084364119e-20,3.12420833814772e-18,36.2577056072686,2.4023686831429
